店铺名称,商户名称,合同ID (采购合同编号),上线时间,区/县,商圈,店铺电话,店铺面积,店铺位置,详细地址,手机 (商户名称),创建时间,采购合同编号,主要联系人 (商户),电话 (商户),cmid
100丽造型,深圳市宝安区沙井卡伦精剪理发店,4.40306E+17,2015/1/8,宝安区,沙井,0755-23096523,100m2以上,社区,深圳市宝安区沙井和一村二路18-1号,13691724877,2014/12/23 17:13,SZ-BA-201400479,彭四华,,212
100丽造型（福永店）,深圳市宝安区西乡壹佰丽造型美发店,4.40306E+17,2015/1/8,宝安区,福永,13760145858,,商业区,深圳市宝安区福永福围东社区1-18号,13760145858,2015/1/3 22:12,SZ-BA-201400624,陈良,,516
100丽造型（西乡店）,深圳市宝安区西乡壹佰丽造型美发店,2.01507E+17,2015/1/8,宝安区,西乡,18665853585,100m2以上,商业区,深圳市宝安区西乡街道三围村工业路1513号,13760145858,2015/1/6 21:04,SZ-NS-2015001130,陈良,,629
128美发连锁（大新店）,深圳市龙岗区壹贰捌美发机构,4.40307E+17,2015/1/8,龙岗区,坂田,0755-28772589,100m2以上,其他,深圳市龙岗区坂田南坑路东5巷1号,13509642505,2015/1/5 14:01,SZ-BA-201400760,郑良辉,,471
128美发连锁（民乐二店）,深圳市龙岗区壹贰捌美发机构,4.40307E+17,2015/1/8,龙华新区,民治,0755-28096191,100m2以上,社区,深圳市龙华新区民乐老村,13509642505,2015/1/4 20:54,SZ-BA-201400760,郑良辉,,465
128美发连锁（民乐万家店）,深圳市龙岗区壹贰捌美发机构,4.40307E+17,2015/1/8,龙华新区,民治,0755-28098490,100m2以上,社区,深圳市龙华新区民乐村万家灯火翠苑小区,13509642505,2015/1/4 20:50,SZ-BA-201400760,郑良辉,,464
128美发连锁（民营市场店）,深圳市龙岗区壹贰捌美发机构,4.40307E+17,2015/1/8,龙岗区,坂田,0755-28416402,100m2以上,其他,深圳市龙岗区坂田四季花城民营市场美食街1号,13509642505,2015/1/5 12:24,SZ-BA-201400760,郑良辉,,468
128美发连锁（荣群店）,深圳市龙岗区壹贰捌美发机构,4.40307E+17,2015/1/8,龙华新区,民治,0755-28198325,100m2以上,社区,深圳市龙华新区民治大润发商场对面,13509642505,2015/1/4 20:58,SZ-BA-201400760,郑良辉,,466
128美发连锁（上水径店）,深圳市龙岗区壹贰捌美发机构,4.40307E+17,2015/1/8,龙岗区,布吉,0755-84727686,100m2以上,其他,深圳市龙岗区布吉上水径市场斜坡处,13509642505,2015/1/5 14:22,SZ-BA-201400760,郑良辉,,473
128美发连锁（上塘店）,深圳市龙岗区壹贰捌美发机构,4.40307E+17,2015/1/8,龙华新区,龙华,0755-23007679,100m2以上,其他,深圳市龙华新区龙华上塘东龙新村161号,13509642505,2015/1/5 13:55,SZ-BA-201400760,郑良辉,,470
128美发连锁（上雪店）,深圳市龙岗区壹贰捌美发机构,4.40307E+17,2015/1/8,龙岗区,新洲,0755-89398031,100m2以上,其他,深圳市龙岗区布吉上雪科技工业园,13509642505,2015/1/5 10:03,SZ-BA-201400760,郑良辉,,467
128美发连锁（天虹店）,深圳市龙岗区壹贰捌美发机构,4.40307E+17,2015/1/8,龙岗区,坂田,0755-28768559,100m2以上,其他,深圳市龙岗区坂田市场天虹商场对面,13509642505,2015/1/5 13:03,SZ-BA-201400760,郑良辉,,469
128美发连锁（杨美店）,深圳市龙岗区壹贰捌美发机构,4.40307E+17,2015/1/8,龙岗区,坂田,0755-89344200,100m2以上,社区,深圳市龙岗区坂田街道杨美村地铁口侧,13509642505,2015/1/5 14:04,SZ-BA-201400760,郑良辉,,472
1号店,深圳市罗湖区一号店美容美发中心,2.01507E+17,,罗湖区,国贸,15813801608,,,深圳市罗湖区南湖街道嘉宾路25号大院12栋底层,15813801608,2015/7/24 14:12,SZ-NS-201500115,周正军,,970
520美发沙龙,深圳市罗湖区520理发店,2.01506E+17,,罗湖区,翠竹,15572335288,,,深圳市罗湖区布心东晓路太白居群楼2号商铺,15572335288,2015/6/17 11:22,SZ-NS-201500596,王耀征,,867
5月show,深圳市杰特发廊,4.40304E+17,2015/1/8,南山区,科技园,0755-33317199,60-100m2,社区,深圳市南山区滨福世纪广场112,18688713247,2014/12/26 14:26,SZ-FT-201400199/198,李浩杰,,329
ANDYC首领发型设计沙龙,深圳市南山区首领美发店,4.40305E+17,2015/1/8,南山区,后海,0755-26675814,100m2以上,社区,深圳市南山区后海工业七路海洋星苑6号,13612893307,2014/12/23 18:57,SZ-BA-201400459,蔡仕琼,,222
AT（东湖店）,深圳市宝安区西乡安迪美发廊,4.40306E+17,2015/1/8,罗湖区,东湖,0755-25266636,100m2以上,社区,深圳市罗湖区爱国路东湖大厦A座首层,13510652347,2014/12/26 9:25,SZ-LH-201400356,袁汝协,,324
AT（西乡店）,深圳市宝安区西乡安迪美发廊,4.40306E+17,2015/1/8,宝安区,西乡,0755-29179970,100m2以上,社区,深圳市宝安区西乡街道盐田社区新三村5排5号,13510652347,2014/12/26 9:30,SZ-LH-201400356,袁汝协,,325
B＆G,深圳宝安区龙华思声理发店,4.40306E+17,2015/2/8,龙华新区,龙华,0755-27620991,100m2以上,社区,深圳市龙华新区龙华街道人民路东侧金碧世家3栋0109,13751120576,2015/1/3 19:58,SZ-BA-201400608,刘清,,511
BB,深圳市宝安区西乡靓靓宝贝美发店,2.01507E+17,,宝安区,西乡,18620367530,,,深圳市宝安区西乡街道劳动路116号,18620367530,2015/7/15 16:38,SZ-NS-2015001126,易刚,,923
BREEZE.Hair发型屋,深圳市龙岗区布吉微风发型屋,4.40307E+17,2015/1/8,龙岗区,新洲,0755-28391758,60-100m2,商业区,深圳市龙岗区布吉街道深惠路佳兆业大都汇一层L107商铺,18681573899,2015/1/5 14:25,SZ-BA-201400582,胡慧萍,,554
CC●莱微尔,深圳市龙华新区龙华卡美形象美发设计店,4.40306E+17,2015/1/8,龙华新区,龙华,13418680897,100m2以上,社区,深圳市龙华新区龙华街道三联路华园道186号,18002530102,2015/1/5 17:48,SZ-BA-201400425,杨欢,,587
choumeitest_salon,choumeitest,4.40305E+17,2015/1/1,南山区,宝安中心区,0755-5555555,60m2内,社区,测试用地址,12345678905,2015/1/15 14:05,SZ-test,测试用联系人,888888888,630
classics经典主作,深圳市福田区经典主作美发店,4.40304E+17,2015/1/8,福田区,岗厦,0755-83204666,100m2以上,社区,深圳市福田区福中路海连大厦21号,13316862620,2014/12/18 15:22,SZ-LH-201400389,何伟,,161
classic经典时光,深圳市经典时光美发店,4.40304E+17,2015/1/8,福田区,车公庙,0755-61319686,100m2以上,商业区,深圳市福田区泰然四路泰然工贸园210栋1E1号,13632549839,2015/1/9 11:57,SZ-NS-201500174,罗青松,,657
COCO卷卷头（彩田村店）,深圳市韩艺卷卷头美发管理有限公司,4.40305E+17,2015/1/8,福田区,彩田村,0755-83178769,100m2以上,社区,深圳市福田区彩田村华润万佳综合楼-1层,13699828850,2014/12/23 21:33,SZ-NS-201400070,仇志强,13760178618,256
CT造型,深圳市福田区春天88造型美发店,4.40304E+17,2015/1/8,福田区,华强,0755-83018902,100m2以上,商业区,深圳市福田区燕南路十一号家乐大厦1层15号,13632877703,2014/12/16 13:44,SZ-FT-201400180,吴进春,,110
DICK造型,深圳市宝安区西乡迪克造型美发店,2.01506E+17,,宝安区,西乡,18820228607,,,深圳市宝安区西乡街道办前进二路桃源居12区13栋201室,18820228607,2015/6/16 15:39,SZ-NS-2015001008,张凡凡,,866
Do私人形象设计工作室,深圳市靓丽形象时尚文化传播有限公司,4.40304E+17,2015/1/8,福田区,岗厦,0755-83666783,60-100m2,商业区,深圳市福田区福田街道办福华三路11号(辛诚花园)裙楼一层110铺,15989378323,2014/12/11 13:51,SZ-FT-201400170,彭博,15989378323,77
DuDu美业,深圳市宝安区西乡晶玲秀丝阁美发店,0,2015/6/10,宝安区,西乡,18566261082,,,广东省深圳市宝安区西乡街道真理街59号,18566261082,2015/6/10 18:11,SZ-NS-201500721,肖小金,,852
F1国际烫染（甲子塘店）,深圳市光明新区公明谢宇美发店,4.40306E+17,2015/6/2,宝安区,公明,13631598482,,,深圳市宝安区光明新区公明办事处甲社区大道北一巷六号一楼,15989535959,2015/6/2 17:45,SZ-NS-201500704,周辉,,817
F1国际烫染（时尚店）,深圳市宝安区石岩刘彩凤美发店,4.40306E+17,2015/6/9,宝安区,石岩,18312517237,,,深圳市宝安区石岩街道上屋大道97号,13686842483,2015/6/9 14:27,SZ-NS-201500833,刘彩凤,,831
F1国际烫染（总店）,深圳市宝安区石岩美家福美发店,4.40306E+17,2015/6/9,宝安区,石岩,13554718946,,,深圳市宝安区石岩街道上下屋社区上屋大道31-1号,13265845777,2015/6/9 14:19,SZ-NS-201500835,谢连宇,,832
Focus聚焦造型,深圳市南山区聚焦典形象定制会所,4.40305E+17,,南山区,桂庙路口,15902954367,,,深圳市南山区桂庙路口向南瑞峰1楼181室,13902959367,2015/6/10 18:21,SZ-NS-201500747,廖金,,851
F名匠（大浪总店）,深圳市宝安区大浪澳福理发店,4.40306E+17,2015/6/1,龙华新区,大浪,13410866850,,,深圳市龙华新区大浪街道大浪华兴路西25号,13410866850,2015/6/1 18:38,SZ-NS-201500662,王瑞堂,,814
F名匠（观澜店）,深圳市宝安区观澜新名匠理发店,4.40306E+17,2015/6/1,龙华新区,观澜,15989872912,,,深圳市宝安区观澜社区隆添利科技园二期一层11号,15989872912,2015/6/1 18:59,SZ-NS-201500661,王瑞堂,,812
F名匠（华荣店）,深圳市宝安区大浪下名匠理发店,4.40306E+17,2015/6/1,龙华新区,大浪,15986773828,,,深圳市龙华大浪社区华荣路小区8栋101号,15986773828,2015/6/1 18:15,SZ-NS-201500660,王永富,,813
Hair zss（硕士美发）,深圳市硕士美发有限公司,4.40304E+17,2015/1/8,福田区,CBD中心区,0755-23912209,100m2以上,商业区,深圳市福田区中心区益田路与福华路交汇处卓越时代广场2B02,13088824888,2015/1/3 21:36,SZ-BA-201400570,洪卓扬,,432
HEAD STREAM 发源地（宝安店）,深圳市罗湖区铂金发源地美发店,4.40303E+17,2015/1/8,宝安区,新安,0755-29655957,100m2以上,商业区,深圳市宝安区建安一路香缤广场一楼XB-118,15818752097,2014/12/30 16:14,SZ-BA-201400523,王淙澧,,406
HEAD STREAM 发源地（铂金形象店）,深圳市罗湖区铂金发源地美发店,4.40303E+17,2015/1/8,罗湖区,国贸,0755-82176525,100m2以上,商业区,深圳市罗湖区嘉宾路湖心大厦铂金广场2楼,15818752097,2014/12/30 16:22,SZ-BA-201400523,王淙澧,,407
HEAD STREAM 发源地（南山店）,深圳市罗湖区铂金发源地美发店,4.40303E+17,2015/1/8,南山区,海岸城,0755-26448080,100m2以上,其他,深圳市南山区文心二路海印长城小区9-12号楼10-12号府114,15818752097,2014/12/30 15:59,SZ-BA-201400523,王淙澧,,403
HEAD STREAM发源地（罗湖店）,深圳市罗湖区铂金发源地美发店,4.40303E+17,2015/1/8,罗湖区,东门,0755-25562227,,其他,深圳市罗湖区桂园街道鸿翔花园1004.1005号铺,15818752097,2014/12/30 16:35,SZ-BA-201400523,王淙澧,,408
HEAD STREAM发源地总店,深圳市罗湖区铂金发源地美发店,4.40303E+17,2015/1/8,福田区,华强,0755-23806287,100m2以上,其他,深圳市福田区振兴西路北海渔村对面（振光路101号B座）,15818752097,2014/12/30 16:43,SZ-BA-201400523,王淙澧,,409
HERE′S,深圳市颢丝形象设计管理有限公司,4.40305E+17,2015/1/8,南山区,欢乐海岸,0755-86526662,100m2以上,其他,深圳市南山区白石路东欢乐海岸购物中心2楼,15052432981,2014/12/9 14:05,SZ-NS-201400071,王福珍,15052432981,29
HK护肤造型养生（食品路店）,深圳市龙华新区观澜健华艺理发店,4.40306E+17,2015/1/8,宝安区,观澜,0755-29841316,100m2以上,商业区,深圳市龙华新区观澜街道食品路5号1号铺,13715339921,2015/1/4 20:04,SZ-LG-201400636,叶雄生,,449
HK护肤造型养生（银河新村店）,深圳市龙华新区观澜健华艺理发店,4.40306E+17,2015/1/8,龙华新区,观澜,0755-28016740,100m2以上,商业区,深圳市龙华新区观澜街道四和社区银河新村A栋101,13715339921,2015/1/4 19:57,SZ-LG-201400636,叶雄生,,448
