商户编号K3,商户编号,商户名称,,店铺编号K3,店铺编号,店铺名称,,店铺类型,联系人,城市,原商户编号K3,原商户名称K3,原店铺编号CRM,备注
1.SZ0001,SZ0001,聚首顶头尚丝美发店,客户---1.SZ0001---聚首顶头尚丝美发店,1.SZ0001001,SZ0001001,聚首顶头尚丝美发店,客户---1.SZ0001001---聚首顶头尚丝美发店,,罗永恒,深圳,440305201412000201,聚首顶头尚丝美发店(罗永恒),99,
1.SZ0002,SZ0002,深圳宝安区龙华思声理发店,客户---1.SZ0002---深圳宝安区龙华思声理发店,1.SZ0002001,SZ0002001,B＆G,客户---1.SZ0002001---B＆G,,林宇锋,深圳,440306201501000301,深圳宝安区龙华思声理发店(林宇锋),511,
1.SZ0003,SZ0003,深圳金李美容美发有限公司,客户---1.SZ0003---深圳金李美容美发有限公司,1.SZ0003001,SZ0003001,韩国金李美发南山前海天虹店,客户---1.SZ0003001---韩国金李美发南山前海天虹店,,李民哲,深圳,440306201412000101,深圳金李美容美发有限公司(李民哲),23,
1.SZ0003,SZ0003,深圳金李美容美发有限公司,客户---1.SZ0003---深圳金李美容美发有限公司,1.SZ0003002,SZ0003002,韩国金李美发宝安丽晶国际店,客户---1.SZ0003002---韩国金李美发宝安丽晶国际店,,李民哲,深圳,440306201412000101,深圳金李美容美发有限公司(李民哲),24,
1.SZ0004,SZ0004,深圳名流丽都美容美发管理有限公司,客户---1.SZ0004---深圳名流丽都美容美发管理有限公司,1.SZ0004001,SZ0004001,名流丽都,客户---1.SZ0004001---名流丽都,,李红梅,深圳,440307201501002801,深圳名流丽都美容美发管理有限公司(李红梅),610,
1.SZ0005,SZ0005,深圳南山区妮诺美发店,客户---1.SZ0005---深圳南山区妮诺美发店,1.SZ0005001,SZ0005001,妮诺美发（南油店）,客户---1.SZ0005001---妮诺美发（南油店）,,李书浩,深圳,440305201412004401,深圳南山区妮诺美发店(李书浩),203,
1.SZ0005,SZ0005,深圳南山区妮诺美发店,客户---1.SZ0005---深圳南山区妮诺美发店,1.SZ0005002,SZ0005002,尼诺美发（前海店）,客户---1.SZ0005002---尼诺美发（前海店）,,李书浩,深圳,440305201412004401,深圳南山区妮诺美发店(李书浩),204,
1.SZ0006,SZ0006,深圳仁天堂投资管理有限公司,客户---1.SZ0006---深圳仁天堂投资管理有限公司,1.SZ0006001,SZ0006001,新诗维美发店,客户---1.SZ0006001---新诗维美发店,,吴育洪,深圳,440304201412002201,深圳仁天堂投资管理有限公司(吴育洪),95,
1.SZ0007,SZ0007,深圳时尚盛宴美容美发管理有限公司,客户---1.SZ0007---深圳时尚盛宴美容美发管理有限公司,1.SZ0007001,SZ0007001,时尚风暴（迎宾店）,客户---1.SZ0007001---时尚风暴（迎宾店）,,黄耀坤,深圳,440303201412002701,深圳时尚盛宴美容美发管理有限公司(黄耀坤),247,
1.SZ0007,SZ0007,深圳时尚盛宴美容美发管理有限公司,客户---1.SZ0007---深圳时尚盛宴美容美发管理有限公司,1.SZ0007002,SZ0007002,时尚风暴（柏利店）,客户---1.SZ0007002---时尚风暴（柏利店）,,黄耀坤,深圳,440303201412002701,深圳时尚盛宴美容美发管理有限公司(黄耀坤),250,
1.SZ0007,SZ0007,深圳时尚盛宴美容美发管理有限公司,客户---1.SZ0007---深圳时尚盛宴美容美发管理有限公司,1.SZ0007003,SZ0007003,时尚风暴（旺角四楼店）,客户---1.SZ0007003---时尚风暴（旺角四楼店）,,黄耀坤,深圳,440303201412002701,深圳时尚盛宴美容美发管理有限公司(黄耀坤),251,
1.SZ0007,SZ0007,深圳时尚盛宴美容美发管理有限公司,客户---1.SZ0007---深圳时尚盛宴美容美发管理有限公司,1.SZ0007004,SZ0007004,时尚风暴（旺角三楼店）,客户---1.SZ0007004---时尚风暴（旺角三楼店）,,黄耀坤,深圳,440303201412002701,深圳时尚盛宴美容美发管理有限公司(黄耀坤),270,
1.SZ0008,SZ0008,深圳市艾克瑞斯美容美发有限公司,客户---1.SZ0008---深圳市艾克瑞斯美容美发有限公司,1.SZ0008001,SZ0008001,艾克瑞斯沙龙,客户---1.SZ0008001---艾克瑞斯沙龙,,林立,深圳,440304201412003901,深圳市艾克瑞斯美容美发有限公司(林立),109,
1.SZ0009,SZ0009,深圳市爱阳光投资发展有限公司,客户---1.SZ0009---深圳市爱阳光投资发展有限公司,1.SZ0009001,SZ0009001,爱阳光护肤造型,客户---1.SZ0009001---爱阳光护肤造型,,陈柏祥,深圳,440304201412006001,深圳市爱阳光投资发展有限公司(陈柏祥),292,
1.SZ0009,SZ0009,深圳市爱阳光投资发展有限公司,客户---1.SZ0009---深圳市爱阳光投资发展有限公司,1.SZ0009002,SZ0009002,艾尚护肤造型,客户---1.SZ0009002---艾尚护肤造型,,陈柏祥,深圳,440304201412006001,深圳市爱阳光投资发展有限公司(陈柏祥),293,
1.SZ0010,SZ0010,深圳市安佐形象设计有限公司,客户---1.SZ0010---深圳市安佐形象设计有限公司,1.SZ0010001,SZ0010001,安佐形象设计（太子山庄店）,客户---1.SZ0010001---安佐形象设计（太子山庄店）,,深圳市安佐形象设计有限公司,深圳,440305201412001001,深圳市安佐形象设计有限公司,27,
1.SZ0010,SZ0010,深圳市安佐形象设计有限公司,客户---1.SZ0010---深圳市安佐形象设计有限公司,1.SZ0010002,SZ0010002,安佐形象设计有限公司,客户---1.SZ0010002---安佐形象设计有限公司,,深圳市安佐形象设计有限公司,深圳,440305201412001001,深圳市安佐形象设计有限公司,28,
1.SZ0011,SZ0011,深圳市柏锜美容美发有限公司,客户---1.SZ0011---深圳市柏锜美容美发有限公司,1.SZ0011001,SZ0011001,雅琪美容美发（洪湖店）,客户---1.SZ0011001---雅琪美容美发（洪湖店）,,深圳市柏锜美容美发管理有限公司,深圳,440303201412002001,深圳市柏锜美容美发有限公司(深圳市柏锜美容美发管理有限公司),194,
1.SZ0011,SZ0011,深圳市柏锜美容美发有限公司,客户---1.SZ0011---深圳市柏锜美容美发有限公司,1.SZ0011002,SZ0011002,柏锜护肤造型SPA会所（福田店）,客户---1.SZ0011002---柏锜护肤造型SPA会所（福田店）,,深圳市柏锜美容美发管理有限公司,深圳,440303201412002001,深圳市柏锜美容美发有限公司(深圳市柏锜美容美发管理有限公司),195,
1.SZ0011,SZ0011,深圳市柏锜美容美发有限公司,客户---1.SZ0011---深圳市柏锜美容美发有限公司,1.SZ0011003,SZ0011003,柏锜护肤造型SPA会所（南山店）,客户---1.SZ0011003---柏锜护肤造型SPA会所（南山店）,,深圳市柏锜美容美发管理有限公司,深圳,440303201412002001,深圳市柏锜美容美发有限公司(深圳市柏锜美容美发管理有限公司),197,
1.SZ0011,SZ0011,深圳市柏锜美容美发有限公司,客户---1.SZ0011---深圳市柏锜美容美发有限公司,1.SZ0011004,SZ0011004,雅琪美容美发（宝利豪庭店）,客户---1.SZ0011004---雅琪美容美发（宝利豪庭店）,,深圳市柏锜美容美发管理有限公司,深圳,440303201412002001,深圳市柏锜美容美发有限公司(深圳市柏锜美容美发管理有限公司),200,
1.SZ0011,SZ0011,深圳市柏锜美容美发有限公司,客户---1.SZ0011---深圳市柏锜美容美发有限公司,1.SZ0011005,SZ0011005,柏琪美容美发（松岗店）,客户---1.SZ0011005---柏琪美容美发（松岗店）,,深圳市柏锜美容美发管理有限公司,深圳,440303201412002001,深圳市柏锜美容美发有限公司(深圳市柏锜美容美发管理有限公司),202,
1.SZ0012,SZ0012,深圳市宝安区宝城莎丽美发店,客户---1.SZ0012---深圳市宝安区宝城莎丽美发店,1.SZ0012001,SZ0012001,莎丽润容,客户---1.SZ0012001---莎丽润容,,鲍怀勇,深圳,440306201412002201,深圳市宝安区宝城莎丽美发店(鲍怀勇),232,
1.SZ0013,SZ0013,深圳市宝安区宝城羽壹发廊,客户---1.SZ0013---深圳市宝安区宝城羽壹发廊,1.SZ0013001,SZ0013001,羽壹发廊（宝安店）,客户---1.SZ0013001---羽壹发廊（宝安店）,,邱伟村,深圳,440306201412000701,深圳市宝安区宝城羽壹发廊,182,
1.SZ0014,SZ0014,深圳市宝安区宝城正大发艺发廊,客户---1.SZ0014---深圳市宝安区宝城正大发艺发廊,1.SZ0014001,SZ0014001,正大发艺,客户---1.SZ0014001---正大发艺,,李浪,深圳,440306201412004801,深圳市宝安区宝城正大发艺发廊(李浪),311,
1.SZ0015,SZ0015,深圳市宝安区福永彩轩理发店,客户---1.SZ0015---深圳市宝安区福永彩轩理发店,1.SZ0015001,SZ0015001,彩轩（新和店）,客户---1.SZ0015001---彩轩（新和店）,,付治彬,深圳,440306201412004101,深圳市宝安区福永彩轩理发店(付治彬),294,
1.SZ0015,SZ0015,深圳市宝安区福永彩轩理发店,客户---1.SZ0015---深圳市宝安区福永彩轩理发店,1.SZ0015002,SZ0015002,彩轩（松岗店）,客户---1.SZ0015002---彩轩（松岗店）,,付治彬,深圳,440306201412004101,深圳市宝安区福永彩轩理发店(付治彬),296,
